cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC0675_N01	4.03	-11.63	CD34
CD34_Donor1_S1_BC0676_N01	6.20	-28.37	CD34
CD34_Donor1_S1_BC0677_N01	8.29	-10.14	CD34
CD34_Donor1_S1_BC0678_N01	5.21	-25.76	CD34
CD34_Donor1_S1_BC0679_N01	24.87	-22.10	CD34
CD34_Donor1_S1_BC0680_N01	12.73	-10.30	CD34
CD34_Donor1_S1_BC0681_N01	8.97	-18.79	CD34
CD34_Donor1_S1_BC0682_N01	3.41	-28.63	CD34
CD34_Donor1_S1_BC0683_N01	10.76	-4.59	CD34
CD34_Donor1_S1_BC0686_N01	3.88	-1.37	CD34
CD34_Donor1_S1_BC0687_N01	6.97	-15.25	CD34
CD34_Donor1_S1_BC0689_N01	24.86	20.42	CD34
CD34_Donor1_S1_BC0690_N01	17.02	-11.31	CD34
CD34_Donor1_S1_BC0692_N01	16.14	-11.99	CD34
CD34_Donor1_S1_BC0694_N01	20.09	-12.33	CD34
CD34_Donor1_S1_BC0695_N01	19.03	-8.70	CD34
CD34_Donor1_S1_BC0696_N01	17.47	-10.82	CD34
CD34_Donor1_S1_BC0697_N01	10.24	-27.30	CD34
CD34_Donor1_S1_BC0700_N01	6.90	-13.64	CD34
CD34_Donor1_S1_BC0702_N01	12.28	-7.59	CD34
CD34_Donor1_S1_BC0703_N01	3.69	-17.42	CD34
CD34_Donor1_S1_BC0712_N01	14.53	-11.27	CD34
CD34_Donor1_S1_BC0714_N01	14.98	-13.75	CD34
CD34_Donor1_S1_BC0716_N01	31.01	-2.74	CD34
CD34_Donor1_S1_BC0718_N01	13.14	-9.37	CD34
CD34_Donor1_S1_BC0719_N01	24.78	-17.48	CD34
CD34_Donor1_S1_BC0723_N01	23.02	-7.68	CD34
CD34_Donor1_S1_BC0724_N01	5.72	-29.01	CD34
CD34_Donor1_S1_BC0725_N01	15.65	-8.85	CD34
CD34_Donor1_S1_BC0726_N01	19.14	27.36	CD34
