DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N715_Exp77_sample12_S1_BC182_N01,0,0.388,215,196,267,167331,170379,489324,5166,217,0.652,183004
N715_Exp77_sample12_S1_BC183_N01,0,0.296,232,208,166945,578,170276,569103,504542,174,0.701,177460
N715_Exp77_sample12_S1_BC184_N01,0,0.266,232,203,301,166157,170144,768959,5305,231,0.779,172119
N715_Exp77_sample12_S1_BC185_N01,0,0.342,212,200,167104,707,169730,505932,230360,310,0.665,180726
N715_Exp77_sample12_S1_BC186_N01,0,0.322,226,205,164704,1339,168889,566545,490176,589,0.702,175913
N715_Exp77_sample12_S1_BC187_N01,0,0.456,188,183,481,166114,168810,633894,20241,1617,0.734,173277
N715_Exp77_sample12_S1_BC188_N01,0,0.322,219,201,164524,463,168246,538620,165092,129,0.688,176612
N715_Exp77_sample12_S1_BC189_N01,0,0.319,208,188,270,165210,168166,465180,13037,262,0.638,182405
N715_Exp77_sample12_S1_BC190_N01,0,0.277,213,198,164556,624,168043,473794,241181,239,0.645,181342
N715_Exp77_sample12_S1_BC191_N01,0,0.314,210,191,299,164443,168019,568255,30159,361,0.704,174789
N715_Exp77_sample12_S1_BC192_N01,0,0.266,226,209,164713,531,167880,335372,171125,177,0.499,210857
N715_Exp77_sample12_S1_BC193_N01,0,0.276,227,210,164366,474,167538,417468,160025,163,0.599,187915
N715_Exp77_sample12_S1_BC194_N01,0,0.3,240,212,162921,600,166763,538543,402765,197,0.69,174787
N715_Exp77_sample12_S1_BC195_N02,0,0.321,225,202,389,256113,263205,840712,6495,345,0.687,276406
N715_Exp77_sample12_S1_BC196_N03,0,0.278,229,208,309375,1032,331222,1020239,360453,566,0.675,350246
N715_Exp77_sample12_S1_BC197_N01,0,0.401,207,188,315,162652,166008,682916,14403,282,0.757,168977
N715_Exp77_sample12_S1_BC198_N01,0,0.336,227,200,328,160341,164264,597368,8110,262,0.725,169223
N715_Exp77_sample12_S1_BC199_N02,0,0.34,208,189,345,239317,245749,725173,12123,411,0.661,262265
N715_Exp77_sample12_S1_BC200_N02,0,0.338,212,193,303,213426,220490,664784,3380,343,0.668,234191
N715_Exp77_sample12_S1_BC201_N01,0,0.381,210,193,209,161194,163396,361495,2760,151,0.548,193093
N715_Exp77_sample12_S1_BC202_N01,0,0.353,213,194,227,160514,163222,582935,10613,242,0.72,168524
N715_Exp77_sample12_S1_BC203_N01,0,0.276,237,210,158546,574,162793,447583,325499,163,0.636,176876
N715_Exp77_sample12_S1_BC204_N02,0,0.339,209,191,453,252129,259053,892124,8020,475,0.71,268778
N715_Exp77_sample12_S1_BC205_N02,0,0.286,228,209,220178,596,225931,539841,233042,274,0.581,257621
N715_Exp77_sample12_S1_BC206_N01,0,0.379,213,191,296,158383,162188,676341,7302,248,0.76,164918
N715_Exp77_sample12_S1_BC207_N01,0,0.394,229,203,310,157398,161832,518238,28132,159,0.688,169871
N715_Exp77_sample12_S1_BC208_N02,0,0.343,215,192,411,181564,189286,841422,8801,540,0.775,191662
N715_Exp77_sample12_S1_BC209_N02,0,0.319,226,202,202451,740,208242,495849,344104,306,0.58,237796
N715_Exp77_sample12_S1_BC210_N01,0,0.28,225,210,157977,507,160983,421672,190594,136,0.618,177475
N715_Exp77_sample12_S1_BC211_N01,0,0.319,213,203,157529,423,160136,348979,189773,154,0.541,190750
N715_Exp77_sample12_S1_BC212_N01,0,0.273,226,210,157163,515,159857,438328,199593,138,0.635,173818
N715_Exp77_sample12_S1_BC213_N01,0,0.345,218,197,266,156950,159786,550630,27608,252,0.71,165769
N715_Exp77_sample12_S1_BC214_N01,0,0.315,231,207,155544,521,159219,480588,276613,163,0.669,169073
N715_Exp77_sample12_S1_BC215_N01,0,0.284,206,188,212,155730,158309,581975,8531,210,0.728,162881
N715_Exp77_sample12_S1_BC216_N01,0,0.325,219,196,300,153232,157561,503708,9798,224,0.687,165438
N715_Exp77_sample12_S1_BC217_N01,0,0.311,210,193,221,154611,157386,500410,19080,174,0.685,165417
N715_Exp77_sample12_S1_BC218_N03,0,0.352,221,201,247473,1203,239602,814287,462741,600,0.706,249076
N715_Exp77_sample12_S1_BC219_N01,0,0.372,198,180,256,154469,157025,460411,7256,296,0.659,167825
N715_Exp77_sample12_S1_BC220_N01,0,0.303,228,209,152221,464,156706,504706,287606,174,0.69,164323
N715_Exp77_sample12_S1_BC221_N01,0,0.136,206,194,153815,214,156544,482778,44297,31,0.676,165495
N715_Exp77_sample12_S1_BC222_N02,0,0.417,210,192,459,225239,231685,861294,26006,367,0.731,238076
N715_Exp77_sample12_S1_BC223_N02,0,0.32,220,203,232778,831,239430,683630,355321,446,0.65,257546
N715_Exp77_sample12_S1_BC224_N02,0,0.336,212,190,407,227968,234708,758225,26658,477,0.69,245986
N715_Exp77_sample12_S1_BC225_N02,0,0.354,210,193,412,240275,247623,850573,6861,450,0.709,257013
N715_Exp77_sample12_S1_BC226_N01,0,0.369,201,185,177,149857,152178,434778,11405,155,0.65,163666
N715_Exp77_sample12_S1_BC227_N01,0,0.349,213,192,1033,148167,151986,452313,28243,256,0.664,161890
N715_Exp77_sample12_S1_BC228_N01,0,0.345,208,188,252,148660,151282,477791,10827,260,0.683,159198
N715_Exp77_sample12_S1_BC229_N01,0,0.248,237,208,147072,750,150967,493331,399781,209,0.694,157911
N715_Exp77_sample12_S1_BC230_N01,0,0.309,213,201,147959,511,150753,308134,258949,228,0.511,186483
N715_Exp77_sample12_S1_BC231_N01,0,0.313,205,185,170,147404,150180,347701,5394,229,0.568,173611
N715_Exp77_sample12_S1_BC232_N02,0,0.303,236,212,170603,541,177212,640607,413863,262,0.723,182693
N715_Exp77_sample12_S1_BC233_N02,0,0.316,217,196,405,168025,173929,786560,9333,320,0.779,175942
N715_Exp77_sample12_S1_BC234_N01,0,0.296,227,207,144594,432,149106,482462,481671,167,0.691,156227
N715_Exp77_sample12_S1_BC235_N01,0,0.348,226,205,145598,550,148893,468186,279262,206,0.682,156813
N715_Exp77_sample12_S1_BC236_N01,0,0.285,221,204,145649,453,148611,410162,250860,196,0.638,161294
N715_Exp77_sample12_S1_BC237_N01,0,0.322,214,193,323,145155,147952,425451,7812,511,0.652,158865
N715_Exp77_sample12_S1_BC238_N01,0,0.34,213,198,145491,504,147729,338099,156281,234,0.563,171691
N715_Exp77_sample12_S1_BC239_N01,0,0.315,205,188,290,145119,147729,434473,16917,212,0.66,157778
N715_Exp77_sample12_S1_BC240_N01,0,0.288,219,203,144503,854,147613,475974,695684,288,0.69,154757
N715_Exp77_sample12_S1_BC241_N01,0,0.318,225,202,144827,521,147590,336874,176761,187,0.562,171747
N715_Exp77_sample12_S1_BC242_N01,0,0.296,196,184,141,144863,146795,350554,24514,145,0.581,167425
N715_Exp77_sample12_S1_BC243_N01,0,0.349,155,168,144491,751,146487,232340,263151,268,0.37,230908
N715_Exp77_sample12_S1_BC244_N02,0,0.345,225,202,361,183331,190471,811076,5569,503,0.765,193388
