DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N701_Exp28_Sample1_S1_BC229_N06,0,0.401,175,172,201,24913,16115,57174,3372,5,0.718,16653
N701_Exp28_Sample1_S1_BC230_N01,0,0.357,222,195,24,9399,9628,22411,7353,0,0.57,11103
N701_Exp28_Sample1_S1_BC231_N01,0,0.336,220,204,9349,95,9595,23239,81846,8,0.587,10880
N701_Exp28_Sample1_S1_BC232_N01,0,0.263,251,217,9130,66,9402,24378,26499,3,0.614,10400
N701_Exp28_Sample1_S1_BC233_N03,0,0.371,226,204,13228,77,12470,31158,92368,9,0.6,13973
N701_Exp28_Sample1_S1_BC234_N01,0,0.397,227,203,9149,79,9376,23895,113140,9,0.608,10432
N701_Exp28_Sample1_S1_BC235_N01,0,0.388,223,204,9087,108,9369,22720,67122,12,0.588,10619
N701_Exp28_Sample1_S1_BC236_N01,0,0.347,216,199,8893,307,9341,23270,124054,8,0.599,10478
N701_Exp28_Sample1_S1_BC237_N01,0,0.324,234,210,9051,96,9312,20482,40200,6,0.545,11038
N701_Exp28_Sample1_S1_BC238_N01,0,0.417,217,196,9018,125,9273,23661,65525,13,0.608,10313
N701_Exp28_Sample1_S1_BC239_N02,0,0.385,213,198,11708,60,12139,34799,58556,10,0.651,13044
N701_Exp28_Sample1_S1_BC240_N01,0,0.351,220,198,28,9030,9177,17073,1568,1,0.462,12169
